27290,27290,21580,21580,21580,21580,12289,12289,12289,12289,12289,12291,12291,12291,12291,12300,55838
12300,12300,12300,12296,12296,12296,12296,12296,12296,12296,12296,12296,12296,12296,12296,12296,55838
12296,12296,12296,12298,12298,12298,12298,12300,12300,12300,12300,12294,12294,12294,12294,12294,55838
12294,12294,12294,12294,12293,12293,12293,12293,14838,14838,14838,14838,33116,33116,33116,33116,55838
54537,54537,54537,54537,54538,54538,54538,54538,54541,54541,54541,54541,54536,54536,54536,54536,55795
53832,53832,53832,53832,52879,52879,52879,52879,53035,53035,53035,53035,53424,53424,53424,53424,55795
53424,54337,54337,54337,54337,54544,54544,54544,54544,54546,54546,54546,54546,54547,54547,54547,55795
54547,52846,52846,52846,52846,47827,47827,47827,47827,39907,39907,39907,39907,49387,49387,49387,55795
49387,54546,54546,54546,54546,54545,54545,54545,54545,54545,54544,54544,54544,54544,54536,54536,55762
54536,54536,54533,54533,54533,54533,54537,54537,54537,54537,12294,12294,12294,12294,12290,12290,55762
12290,12290,12289,12289,12289,12289,12286,12286,12286,12286,12289,12289,12289,12289,12290,12290,55762
12290,12290,12288,12288,12288,12288,12288,12290,12290,12290,12290,12302,12302,12302,12302,12301,55762
12301,12301,12301,54563,54563,54563,54563,54558,54558,54558,54558,54552,54552,54552,54552,54552,55762
54552,54552,54552,54560,54560,54560,54560,54557,54557,54557,54557,54559,54559,54559,54559,54559,55718
54560,54560,54560,54560,54546,54546,54546,54546,54541,54541,54541,54541,54544,54544,54544,54544,55718
54543,54543,54543,54543,54545,54545,54545,54545,54543,54543,54543,54543,54544,54544,54544,54544,55718
54538,54538,54538,54538,54542,54542,54542,54542,54543,54543,54543,54543,54543,54553,54553,54553,55718
54553,54549,54549,54549,54549,54545,54545,54545,54545,54552,54552,54552,54552,54545,54545,54545,55672
54545,54550,54550,54550,54550,54538,54538,54538,54538,54537,54537,54537,54537,54539,54539,54539,55672
54539,54544,54544,54544,54544,54544,54540,54540,54540,54540,54522,54522,54522,54522,54529,54529,55672
54529,54529,54526,54526,54526,54526,54527,54527,54527,54527,54522,54522,54522,54522,54521,54521,55672
54521,54521,54524,54524,54524,54524,54525,54525,54525,54525,54526,54526,54526,54526,54526,54522,55628
54522,54522,54522,54542,54542,54542,54542,54539,54539,54539,54539,54535,54535,54535,54535,54534,55628
54534,54534,54534,54539,54539,54539,54539,54534,54534,54534,54534,54538,54538,54538,54538,54535,55628
54535,54535,54535,54533,54533,54533,54533,54532,54532,54532,54532,54532,54533,54533,54533,54533,55628
54524,54524,54524,54524,54520,54520,54520,54520,54525,54525,54525,54525,54521,54521,54521,54521,55590
54525,54525,54525,54525,54522,54522,54522,54522,54519,54519,54519,54519,54515,54515,54515,54515,55590
54521,54521,54521,54521,54521,54520,54520,54520,54520,54533,54533,54533,54533,54529,54529,54529,55590
54529,54524,54524,54524,54524,54529,54529,54529,54529,54529,54529,54529,54529,54534,54534,54534,55590
54534,54531,54531,54531,54531,54530,54530,54530,54530,54532,54532,54532,54532,54532,54532,54532,55556
54532,54532,54526,54526,54526,54526,54513,54513,54513,54513,54515,54515,54515,54515,54512,54512,55556
54512,54512,54513,54513,54513,54513,54520,54520,54520,54520,54516,54516,54516,54516,54515,54515,55556
54515,54515,54517,54517,54517,54517,54521,54521,54521,54521,54521,54517,54517,54517,54517,54528,55556
54528,54528,54528,54536,54536,54536,54536,54531,54531,54531,54531,54531,54531,54531,54531,54533,55518
54533,54533,54533,54531,54531,54531,54531,54534,54534,54534,54534,54537,54537,54537,54537,54532,55518
54532,54532,54532,54532,54533,54533,54533,54533,54519,54519,54519,54519,54517,54517,54517,54517,55518
54523,54523,54523,54523,54518,54518,54518,54518,54523,54523,54523,54523,54524,54524,54524,54524,55518
54519,54519,54519,54519,54525,54525,54525,54525,54517,54517,54517,54517,54527,54527,54527,54527,55483
54527,54522,54522,54522,54522,54533,54533,54533,54533,54529,54529,54529,54529,54535,54535,54535,55483
54535,54532,54532,54532,54532,54535,54535,54535,54535,54534,54534,54534,54534,54530,54530,54530,55483
54530,54533,54533,54533,54533,54535,54535,54535,54535,54535,54533,54533,54533,54533,54518,54518,55483
54518,54518,54518,54518,54518,54518,54520,54520,54520,54520,54522,54522,54522,54522,54521,54521,55443
54521,54521,54521,54521,54521,54521,54519,54519,54519,54519,54517,54517,54517,54517,54519,54519,55443
54519,54519,54518,54518,54518,54518,54518,54521,54521,54521,54521,54530,54530,54530,54530,54530,55443
54530,54530,54530,54529,54529,54529,54529,54531,54531,54531,54531,54531,54531,54531,54531,54533,55443
54533,54533,54533,54531,54531,54531,54531,54535,54535,54535,54535,54534,54534,54534,54534,54534,55413
54530,54530,54530,54530,54522,54522,54522,54522,54524,54524,54524,54524,54522,54522,54522,54522,55413
54520,54520,54520,54520,54525,54525,54525,54525,54516,54516,54516,54516,54523,54523,54523,54523,55413
54516,54516,54516,54516,54517,54517,54517,54517,54514,54514,54514,54514,54514,54535,54535,54535,55413
54535,54534,54534,54534,54534,54538,54538,54538,54538,54530,54530,54530,54530,54531,54531,54531,55379
54531,54529,54529,54529,54529,54536,54536,54536,54536,54533,54533,54533,54533,54532,54532,54532,55379
54532,54530,54530,54530,54530,54530,54534,54534,54534,54534,54518,54518,54518,54518,54516,54516,55379
54516,54516,54514,54514,54514,54514,54520,54520,54520,54520,54517,54517,54517,54517,54512,54512,55379
54512,54512,54516,54516,54516,54516,54521,54521,54521,54521,54520,54520,54520,54520,54520,54520,55379
54520,54520,54520,54530,54530,54530,54530,54530,54530,54530,54530,54530,54530,54530,54530,54531,55347
54531,54531,54531,54532,54532,54532,54532,54537,54537,54537,54537,54534,54534,54534,54534,54530,55347
54530,54530,54530,54531,54531,54531,54531,54531,54531,54531,54531,54531,54529,54529,54529,54529,55347
54513,54513,54513,54513,54518,54518,54518,54518,54519,54519,54519,54519,54524,54524,54524,54524,55347
54517,54517,54517,54517,54513,54513,54513,54513,54518,54518,54518,54518,54517,54517,54517,54517,55332
54526,54526,54526,54526,54526,54525,54525,54525,54525,54533,54533,54533,54533,54528,54528,54528,55332
54528,54531,54531,54531,54531,54530,54530,54530,54530,54530,54530,54530,54530,54531,54531,54531,55332
54531,54527,54527,54527,54527,54538,54538,54538,54538,54521,54521,54521,54521,54530,54530,54530,55332
54530,54530,54528,54528,54528,54528,54517,54517,54517,54517,54520,54520,54520,54520,54522,54522,55303
54522,54522,54524,54524,54524,54524,54521,54521,54521,54521,54523,54523,54523,54523,54519,54519,55303
54519,54519,54516,54516,54516,54516,54515,54515,54515,54515,54515,54513,54513,54513,54513,54535,55303
54535,54535,54535,54532,54532,54532,54532,54536,54536,54536,54536,54528,54528,54528,54528,53443,55303
53443,53443,53443,51141,51141,51141,51141,48561,48561,48561,48561,46112,46112,46112,46112,43949,55267
43949,43949,43949,43949,42120,42120,42120,42120,40572,40572,40572,40572,26745,26745,26745,26745,55267
12294,12294,12294,12294,12294,12294,12294,12294,12295,12295,12295,12295,12292,12292,12292,12292,55267
12293,12293,12293,12293,12295,12295,12295,12295,12292,12292,12292,12292,12292,12292,12292,12292,55267
12292,12292,12292,12292,12292,12304,12304,12304,12304,12302,12302,12302,12302,12305,12305,12305,55248
12305,12299,12299,12299,12299,12298,12298,12298,12298,12300,12300,12300,12300,12303,12303,12303,55248
12303,12304,12304,12304,12304,12302,12302,12302,12302,12302,12299,12299,12299,12299,12290,12290,55248
12290,12290,12289,12289,12289,12289,12289,12289,12289,12289,12294,12294,12294,12294,12293,12293,55248
12293,12293,12294,12294,12294,12294,12293,12293,12293,12293,12289,12289,12289,12289,12287,12287,55221
12287,12287,12292,12292,12292,12292,12292,12290,12290,12290,12290,12297,12297,12297,12297,12297,55221
12297,12297,12297,12300,12300,12300,12300,12301,12301,12301,12301,12299,12299,12299,12299,12297,55221
12297,12297,12297,12299,12299,12299,12299,12299,12299,12299,12299,12299,12299,12299,12299,12299,55221
12301,12301,12301,12301,12293,12293,12293,12293,12293,12293,12293,12293,12295,12295,12295,12295,55193
12291,12291,12291,12291,12294,12294,12294,12294,12292,12292,12292,12292,12291,12291,12291,12291,55193
12297,12297,12297,12297,12288,12288,12288,12288,12289,12289,12289,12289,12289,12297,12297,12297,55193
12297,12294,12294,12294,12294,12294,12294,12294,12294,12297,12297,12297,12297,12301,12301,12301,55193
12301,12298,12298,12298,12298,12298,12298,12298,12298,12295,12295,12295,12295,12301,12301,12301,55168
12301,12299,12299,12299,12299,12299,12297,12297,12297,12297,12290,12290,12290,12290,12293,12293,55168
12293,12293,12294,12294,12294,12294,12289,12289,12289,12289,12288,12288,12288,12288,12289,12289,55168
12289,12289,12287,12287,12287,12287,12288,12288,12288,12288,12293,12293,12293,12293,12293,12290,55168
12290,12290,12290,12300,12300,12300,12300,12297,12297,12297,12297,12294,12294,12294,12294,12301,55143
12301,12301,12301,12297,12297,12297,12297,12298,12298,12298,12298,12296,12296,12296,12296,12298,55143
12298,12298,12298,12296,12296,12296,12296,12298,12298,12298,12298,12298,12293,12293,12293,12293,55143
12286,12286,12286,12286,12290,12290,12290,12290,12289,12289,12289,12289,12288,12288,12288,12288,55143
12290,12290,12290,12290,12292,12292,12292,12292,12290,12290,12290,12290,12288,12288,12288,12288,55123
